Driver.code,season,Constructors,Driver.driverId
ALO,2001,minardi,alonso
ALO,2003,renault,alonso
ALO,2004,renault,alonso
ALO,2005,renault,alonso
ALO,2006,renault,alonso
ALO,2007,mclaren,alonso
ALO,2008,renault,alonso
ALO,2009,renault,alonso
ALO,2010,ferrari,alonso
ALO,2011,ferrari,alonso
ALO,2012,ferrari,alonso
ALO,2013,ferrari,alonso
ALO,2014,ferrari,alonso
ALO,2015,mclaren,alonso
ALO,2016,mclaren,alonso
ALO,2017,mclaren,alonso
ALO,2018,mclaren,alonso
ALO,2021,alpine,alonso
ALO,2022,alpine,alonso
ALO,2023,aston_martin,alonso
ALO,2024,aston_martin,alonso
