round,raceId,driverId,driverName,raceFinalPosition,racePoints,cumulativePoints
1,Australian Grand Prix 2005,fisichella,Giancarlo Fisichella,1,10.0,10.0
2,Malaysian Grand Prix 2005,fisichella,Giancarlo Fisichella,15,0.0,10.0
3,Bahrain Grand Prix 2005,fisichella,Giancarlo Fisichella,18,0.0,10.0
4,San Marino Grand Prix 2005,fisichella,Giancarlo Fisichella,18,0.0,10.0
5,Spanish Grand Prix 2005,fisichella,Giancarlo Fisichella,5,4.0,14.0
6,Monaco Grand Prix 2005,fisichella,Giancarlo Fisichella,12,0.0,14.0
7,European Grand Prix 2005,fisichella,Giancarlo Fisichella,6,3.0,17.0
8,Canadian Grand Prix 2005,fisichella,Giancarlo Fisichella,18,0.0,17.0
9,United States Grand Prix 2005,fisichella,Giancarlo Fisichella,10,0.0,17.0
10,French Grand Prix 2005,fisichella,Giancarlo Fisichella,6,3.0,20.0
11,British Grand Prix 2005,fisichella,Giancarlo Fisichella,4,5.0,25.0
12,German Grand Prix 2005,fisichella,Giancarlo Fisichella,4,5.0,30.0
13,Hungarian Grand Prix 2005,fisichella,Giancarlo Fisichella,9,0.0,30.0
14,Turkish Grand Prix 2005,fisichella,Giancarlo Fisichella,4,5.0,35.0
15,Italian Grand Prix 2005,fisichella,Giancarlo Fisichella,3,6.0,41.0
16,Belgian Grand Prix 2005,fisichella,Giancarlo Fisichella,20,0.0,41.0
17,Brazilian Grand Prix 2005,fisichella,Giancarlo Fisichella,5,4.0,45.0
18,Japanese Grand Prix 2005,fisichella,Giancarlo Fisichella,2,8.0,53.0
19,Chinese Grand Prix 2005,fisichella,Giancarlo Fisichella,4,5.0,58.0
1,Australian Grand Prix 2005,barrichello,Rubens Barrichello,2,8.0,8.0
2,Malaysian Grand Prix 2005,barrichello,Rubens Barrichello,14,0.0,8.0
3,Bahrain Grand Prix 2005,barrichello,Rubens Barrichello,9,0.0,8.0
4,San Marino Grand Prix 2005,barrichello,Rubens Barrichello,15,0.0,8.0
5,Spanish Grand Prix 2005,barrichello,Rubens Barrichello,9,0.0,8.0
6,Monaco Grand Prix 2005,barrichello,Rubens Barrichello,8,1.0,9.0
7,European Grand Prix 2005,barrichello,Rubens Barrichello,3,6.0,15.0
8,Canadian Grand Prix 2005,barrichello,Rubens Barrichello,3,6.0,21.0
9,United States Grand Prix 2005,barrichello,Rubens Barrichello,2,8.0,29.0
10,French Grand Prix 2005,barrichello,Rubens Barrichello,9,0.0,29.0
11,British Grand Prix 2005,barrichello,Rubens Barrichello,7,2.0,31.0
12,German Grand Prix 2005,barrichello,Rubens Barrichello,10,0.0,31.0
13,Hungarian Grand Prix 2005,barrichello,Rubens Barrichello,10,0.0,31.0
14,Turkish Grand Prix 2005,barrichello,Rubens Barrichello,10,0.0,31.0
15,Italian Grand Prix 2005,barrichello,Rubens Barrichello,12,0.0,31.0
16,Belgian Grand Prix 2005,barrichello,Rubens Barrichello,5,4.0,35.0
17,Brazilian Grand Prix 2005,barrichello,Rubens Barrichello,6,3.0,38.0
18,Japanese Grand Prix 2005,barrichello,Rubens Barrichello,11,0.0,38.0
19,Chinese Grand Prix 2005,barrichello,Rubens Barrichello,12,0.0,38.0
1,Australian Grand Prix 2005,alonso,Fernando Alonso,3,6.0,6.0
2,Malaysian Grand Prix 2005,alonso,Fernando Alonso,1,10.0,16.0
3,Bahrain Grand Prix 2005,alonso,Fernando Alonso,1,10.0,26.0
4,San Marino Grand Prix 2005,alonso,Fernando Alonso,1,10.0,36.0
5,Spanish Grand Prix 2005,alonso,Fernando Alonso,2,8.0,44.0
6,Monaco Grand Prix 2005,alonso,Fernando Alonso,4,5.0,49.0
7,European Grand Prix 2005,alonso,Fernando Alonso,1,10.0,59.0
8,Canadian Grand Prix 2005,alonso,Fernando Alonso,17,0.0,59.0
9,United States Grand Prix 2005,alonso,Fernando Alonso,11,0.0,59.0
10,French Grand Prix 2005,alonso,Fernando Alonso,1,10.0,69.0
11,British Grand Prix 2005,alonso,Fernando Alonso,2,8.0,77.0
12,German Grand Prix 2005,alonso,Fernando Alonso,1,10.0,87.0
13,Hungarian Grand Prix 2005,alonso,Fernando Alonso,11,0.0,87.0
14,Turkish Grand Prix 2005,alonso,Fernando Alonso,2,8.0,95.0
15,Italian Grand Prix 2005,alonso,Fernando Alonso,2,8.0,103.0
16,Belgian Grand Prix 2005,alonso,Fernando Alonso,2,8.0,111.0
17,Brazilian Grand Prix 2005,alonso,Fernando Alonso,3,6.0,117.0
18,Japanese Grand Prix 2005,alonso,Fernando Alonso,3,6.0,123.0
19,Chinese Grand Prix 2005,alonso,Fernando Alonso,1,10.0,133.0
1,Australian Grand Prix 2005,coulthard,David Coulthard,4,5.0,5.0
2,Malaysian Grand Prix 2005,coulthard,David Coulthard,6,3.0,8.0
3,Bahrain Grand Prix 2005,coulthard,David Coulthard,8,1.0,9.0
4,San Marino Grand Prix 2005,coulthard,David Coulthard,11,0.0,9.0
5,Spanish Grand Prix 2005,coulthard,David Coulthard,8,1.0,10.0
6,Monaco Grand Prix 2005,coulthard,David Coulthard,17,0.0,10.0
7,European Grand Prix 2005,coulthard,David Coulthard,4,5.0,15.0
8,Canadian Grand Prix 2005,coulthard,David Coulthard,7,2.0,17.0
9,United States Grand Prix 2005,coulthard,David Coulthard,20,0.0,17.0
10,French Grand Prix 2005,coulthard,David Coulthard,10,0.0,17.0
11,British Grand Prix 2005,coulthard,David Coulthard,13,0.0,17.0
