driverId,driverName,image,constructorId,01 Australian GP,02 Malaysian GP,03 Bahrain GP,04 San Marino GP,05 Spanish GP,06 Monaco GP,07 European GP,08 Canadian GP,09 United States GP,10 French GP,11 British GP,12 German GP,13 Hungarian GP,14 Turkish GP,15 Italian GP,16 Belgian GP,17 Brazilian GP,18 Japanese GP,19 Chinese GP
alonso,Fernando Alonso,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F10_360d54b27fc33a0b352f.jpg&w=256&q=75,renault,6.0,16.0,26.0,36.0,44.0,49.0,59.0,59.0,59.0,69.0,77.0,87.0,87.0,95.0,103.0,111.0,117.0,123.0,133.0
raikkonen,Kimi Räikkönen,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F8_feaf0ac16477c2ba6b54.jpg&w=256&q=75,mclaren,1.0,1.0,7.0,7.0,17.0,27.0,27.0,37.0,37.0,45.0,51.0,51.0,61.0,71.0,76.0,86.0,94.0,104.0,112.0
michael_schumacher,Michael Schumacher,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-123454ba-2589-461e-8e95-4998f17c7baf.jpg,ferrari,0.0,2.0,2.0,10.0,10.0,12.0,16.0,24.0,34.0,40.0,43.0,47.0,55.0,55.0,55.0,55.0,60.0,62.0,62.0
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,mclaren,3.0,8.0,,,10.0,14.0,16.0,16.0,16.0,16.0,26.0,34.0,34.0,40.0,50.0,50.0,60.0,60.0,60.0
fisichella,Giancarlo Fisichella,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F13_fbda8a2efdd0b292f315.jpg&w=256&q=75,renault,10.0,10.0,10.0,10.0,14.0,14.0,17.0,17.0,17.0,20.0,25.0,30.0,30.0,35.0,41.0,41.0,45.0,53.0,58.0
ralf_schumacher,Ralf Schumacher,https://static.wikia.nocookie.net/f1wikia/images/0/04/Ralf_Schumacher.jpg/revision/latest?cb=20230922145252,toyota,0.0,4.0,9.0,9.0,14.0,17.0,17.0,20.0,,22.0,23.0,26.0,32.0,32.0,35.0,37.0,38.0,39.0,45.0
trulli,Jarno Trulli,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F9_acafcecca3d0efca51f6.jpg&w=256&q=75,toyota,0.0,8.0,16.0,20.0,26.0,26.0,27.0,27.0,27.0,31.0,31.0,31.0,36.0,39.0,43.0,43.0,43.0,43.0,43.0
barrichello,Rubens Barrichello,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F2_b31457a1632f5c43b5a5.jpg&w=256&q=75,ferrari,8.0,8.0,8.0,8.0,8.0,9.0,15.0,21.0,29.0,29.0,31.0,31.0,31.0,31.0,31.0,35.0,38.0,38.0,38.0
button,Jenson Button,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F11_31267337b6394978bbac.jpg&w=256&q=75,bar,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,5.0,9.0,15.0,19.0,23.0,24.0,30.0,32.0,36.0,37.0
webber,Mark Webber,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F15_2bcc4b09c7f87a165bb5.jpg&w=256&q=75,williams,4.0,4.0,7.0,9.0,12.0,18.0,18.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,29.0,29.0,34.0,36.0
