round,raceId,date,latitude,longitude,raceName
1,Bahrain Grand Prix 2006,2006-03-12,26.0325,50.5106,Bahrain Grand Prix
2,Malaysian Grand Prix 2006,2006-03-19,2.76083,101.738,Malaysian Grand Prix
3,Australian Grand Prix 2006,2006-04-02,-37.8497,144.968,Australian Grand Prix
4,San Marino Grand Prix 2006,2006-04-23,44.3439,11.7167,San Marino Grand Prix
5,European Grand Prix 2006,2006-05-07,50.3356,6.9475,European Grand Prix
6,Spanish Grand Prix 2006,2006-05-14,41.57,2.26111,Spanish Grand Prix
7,Monaco Grand Prix 2006,2006-05-28,43.7347,7.42056,Monaco Grand Prix
8,British Grand Prix 2006,2006-06-11,52.0786,-1.01694,British Grand Prix
9,Canadian Grand Prix 2006,2006-06-25,45.5,-73.5228,Canadian Grand Prix
10,United States Grand Prix 2006,2006-07-02,39.795,-86.2347,United States Grand Prix
11,French Grand Prix 2006,2006-07-16,46.8642,3.16361,French Grand Prix
12,German Grand Prix 2006,2006-07-30,49.3278,8.56583,German Grand Prix
13,Hungarian Grand Prix 2006,2006-08-06,47.5789,19.2486,Hungarian Grand Prix
14,Turkish Grand Prix 2006,2006-08-27,40.9517,29.405,Turkish Grand Prix
15,Italian Grand Prix 2006,2006-09-10,45.6156,9.28111,Italian Grand Prix
16,Chinese Grand Prix 2006,2006-10-01,31.3389,121.22,Chinese Grand Prix
17,Japanese Grand Prix 2006,2006-10-08,34.8431,136.541,Japanese Grand Prix
18,Brazilian Grand Prix 2006,2006-10-22,-23.7036,-46.6997,Brazilian Grand Prix
