driverId,raceId,cumulative_points,points_total
alonso,Australian Grand Prix 2006,10.0,134.0
alonso,Bahrain Grand Prix 2006,20.0,134.0
alonso,Brazilian Grand Prix 2006,28.0,134.0
alonso,British Grand Prix 2006,38.0,134.0
alonso,Canadian Grand Prix 2006,48.0,134.0
alonso,Chinese Grand Prix 2006,56.0,134.0
alonso,European Grand Prix 2006,64.0,134.0
alonso,French Grand Prix 2006,72.0,134.0
alonso,German Grand Prix 2006,76.0,134.0
alonso,Hungarian Grand Prix 2006,76.0,134.0
alonso,Italian Grand Prix 2006,76.0,134.0
alonso,Japanese Grand Prix 2006,86.0,134.0
alonso,Malaysian Grand Prix 2006,94.0,134.0
alonso,Monaco Grand Prix 2006,104.0,134.0
alonso,San Marino Grand Prix 2006,112.0,134.0
alonso,Spanish Grand Prix 2006,122.0,134.0
alonso,Turkish Grand Prix 2006,130.0,134.0
alonso,United States Grand Prix 2006,134.0,134.0
michael_schumacher,Australian Grand Prix 2006,0.0,121.0
michael_schumacher,Bahrain Grand Prix 2006,8.0,121.0
michael_schumacher,Brazilian Grand Prix 2006,13.0,121.0
michael_schumacher,British Grand Prix 2006,21.0,121.0
michael_schumacher,Canadian Grand Prix 2006,29.0,121.0
michael_schumacher,Chinese Grand Prix 2006,39.0,121.0
michael_schumacher,European Grand Prix 2006,49.0,121.0
michael_schumacher,French Grand Prix 2006,59.0,121.0
michael_schumacher,German Grand Prix 2006,69.0,121.0
michael_schumacher,Hungarian Grand Prix 2006,70.0,121.0
michael_schumacher,Italian Grand Prix 2006,80.0,121.0
michael_schumacher,Japanese Grand Prix 2006,80.0,121.0
michael_schumacher,Malaysian Grand Prix 2006,83.0,121.0
michael_schumacher,Monaco Grand Prix 2006,87.0,121.0
michael_schumacher,San Marino Grand Prix 2006,97.0,121.0
michael_schumacher,Spanish Grand Prix 2006,105.0,121.0
michael_schumacher,Turkish Grand Prix 2006,111.0,121.0
michael_schumacher,United States Grand Prix 2006,121.0,121.0
massa,Australian Grand Prix 2006,0.0,80.0
