driverId,driverName,image,constructorId,01 Bahrain GP,02 Malaysian GP,03 Australian GP,04 San Marino GP,05 European GP,06 Spanish GP,07 Monaco GP,08 British GP,09 Canadian GP,10 United States GP,11 French GP,12 German GP,13 Hungarian GP,14 Turkish GP,15 Italian GP,16 Chinese GP,17 Japanese GP,18 Brazilian GP
alonso,Fernando Alonso,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F10_360d54b27fc33a0b352f.jpg&w=256&q=75,renault,10.0,18.0,28.0,36.0,44.0,54.0,64.0,74.0,84.0,88.0,96.0,100.0,100.0,108.0,108.0,116.0,126.0,134.0
michael_schumacher,Michael Schumacher,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-123454ba-2589-461e-8e95-4998f17c7baf.jpg,ferrari,8.0,11.0,11.0,21.0,31.0,39.0,43.0,51.0,59.0,69.0,79.0,89.0,90.0,96.0,106.0,116.0,116.0,121.0
massa,Felipe Massa,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F14_1e9df86fd1fd733f218c.jpg&w=256&q=75,ferrari,0.0,4.0,4.0,9.0,15.0,20.0,20.0,24.0,28.0,36.0,42.0,50.0,52.0,62.0,62.0,62.0,70.0,80.0
fisichella,Giancarlo Fisichella,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F13_fbda8a2efdd0b292f315.jpg&w=256&q=75,renault,0.0,10.0,14.0,15.0,18.0,24.0,27.0,32.0,37.0,43.0,46.0,49.0,49.0,52.0,57.0,63.0,69.0,72.0
raikkonen,Kimi Räikkönen,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F8_feaf0ac16477c2ba6b54.jpg&w=256&q=75,mclaren,6.0,6.0,14.0,18.0,23.0,27.0,27.0,33.0,39.0,39.0,43.0,49.0,49.0,49.0,57.0,57.0,61.0,65.0
button,Jenson Button,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F11_31267337b6394978bbac.jpg&w=256&q=75,honda,5.0,11.0,11.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,31.0,36.0,40.0,45.0,50.0,56.0
barrichello,Rubens Barrichello,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F2_b31457a1632f5c43b5a5.jpg&w=256&q=75,honda,0.0,0.0,2.0,2.0,6.0,8.0,13.0,13.0,13.0,16.0,16.0,16.0,21.0,22.0,25.0,28.0,28.0,30.0
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,mclaren,4.0,9.0,9.0,15.0,15.0,15.0,23.0,26.0,26.0,26.0,,,,,,,,
heidfeld,Nick Heidfeld,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F19_6f0cfc23f911fb6c8381.jpg&w=256&q=75,bmw_sauber,0.0,0.0,5.0,5.0,5.0,6.0,8.0,10.0,12.0,12.0,13.0,13.0,19.0,19.0,20.0,22.0,23.0,23.0
ralf_schumacher,Ralf Schumacher,https://static.wikia.nocookie.net/f1wikia/images/0/04/Ralf_Schumacher.jpg/revision/latest?cb=20230922145252,toyota,0.0,1.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,13.0,13.0,16.0,18.0,18.0,18.0,20.0,20.0
rosa,Pedro de la Rosa,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-5edec345-2242-4e55-801e-769d5ef69f5d.jpg,mclaren,,,,,,,,,,,2.0,2.0,10.0,14.0,14.0,18.0,18.0,19.0
trulli,Jarno Trulli,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F9_acafcecca3d0efca51f6.jpg&w=256&q=75,toyota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,8.0,10.0,10.0,10.0,12.0,12.0,15.0,15.0
coulthard,David Coulthard,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F7_c6b51d89a1abf05be86c.jpg&w=256&q=75,red_bull,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,8.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0
webber,Mark Webber,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F15_2bcc4b09c7f87a165bb5.jpg&w=256&q=75,williams,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
villeneuve,Jacques Villeneuve,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F383_7a035665bdbe594cdab0.jpg&w=256&q=75,bmw_sauber,0.0,2.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,,,,,,
kubica,Robert Kubica,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F256_4730b9db7334dd072e5b.jpg&w=256&q=75,bmw_sauber,,,,,,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0
rosberg,Nico Rosberg,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-3a1e05b4-2d4b-4fee-a426-08d1af38a674.jpg,williams,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
klien,Christian Klien,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F16_fe011f60ee99b5fa6283.jpg&w=256&q=75,red_bull,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,
