driverId,driverCode,driverName,driverNationality,dob
michael_schumacher,MSC,Michael Schumacher,German,1969-01-03
coulthard,COU,David Coulthard,British,1971-03-27
barrichello,BAR,Rubens Barrichello,Brazilian,1972-05-23
heidfeld,HEI,Nick Heidfeld,German,1977-05-10
frentzen,N/A,Heinz-Harald Frentzen,German,1967-05-18
raikkonen,RAI,Kimi Räikkönen,Finnish,1979-10-17
panis,N/A,Olivier Panis,French,1966-09-02
burti,N/A,Luciano Burti,Brazilian,1975-03-05
alesi,N/A,Jean Alesi,French,1964-06-11
verstappen,N/A,Jos Verstappen,Dutch,1972-03-04
irvine,N/A,Eddie Irvine,British,1965-11-10
alonso,ALO,Fernando Alonso,Spanish,1981-07-29
fisichella,FIS,Giancarlo Fisichella,Italian,1973-01-14
button,BUT,Jenson Button,British,1980-01-19
montoya,MON,Juan Pablo Montoya,Colombian,1975-09-20
trulli,TRU,Jarno Trulli,Italian,1974-07-13
hakkinen,N/A,Mika Häkkinen,Finnish,1968-09-28
ralf_schumacher,SCH,Ralf Schumacher,German,1975-06-30
villeneuve,VIL,Jacques Villeneuve,Canadian,1971-04-09
marques,N/A,Tarso Marques,Brazilian,1976-01-19
bernoldi,N/A,Enrique Bernoldi,Brazilian,1978-10-19
mazzacane,N/A,Gastón Mazzacane,Argentine,1975-05-08
rosa,DLR,Pedro de la Rosa,Spanish,1971-02-24
zonta,ZON,Ricardo Zonta,Brazilian,1976-03-23
enge,N/A,Tomáš Enge,Czech,1976-09-11
yoong,N/A,Alex Yoong,Malaysian,1976-07-20
webber,WEB,Mark Webber,Australian,1976-08-27
salo,N/A,Mika Salo,Finnish,1966-11-30
sato,SAT,Takuma Sato,Japanese,1977-01-28
massa,MAS,Felipe Massa,Brazilian,1981-04-25
mcnish,N/A,Allan McNish,British,1969-12-29
davidson,DAV,Anthony Davidson,British,1979-04-18
pizzonia,PIZ,Antônio Pizzonia,Brazilian,1980-09-11
wilson,N/A,Justin Wilson,British,1978-07-31
matta,N/A,Cristiano da Matta,Brazilian,1973-09-19
firman,N/A,Ralph Firman,Irish,1975-05-20
kiesa,N/A,Nicolas Kiesa,Danish,1978-03-03
baumgartner,N/A,Zsolt Baumgartner,Hungarian,1981-01-01
gene,N/A,Marc Gené,Spanish,1974-03-29
klien,KLI,Christian Klien,Austrian,1983-02-07
pantano,N/A,Giorgio Pantano,Italian,1979-02-04
bruni,N/A,Gianmaria Bruni,Italian,1981-05-30
glock,GLO,Timo Glock,German,1982-03-18
karthikeyan,KAR,Narain Karthikeyan,Indian,1977-01-14
monteiro,TMO,Tiago Monteiro,Portuguese,1976-07-24
friesacher,FRI,Patrick Friesacher,Austrian,1980-09-26
albers,ALB,Christijan Albers,Dutch,1979-04-16
wurz,WUR,Alexander Wurz,Austrian,1974-02-15
liuzzi,LIU,Vitantonio Liuzzi,Italian,1980-08-06
doornbos,DOO,Robert Doornbos,Dutch,1981-09-23
rosberg,ROS,Nico Rosberg,German,1985-06-27
speed,SPE,Scott Speed,American,1983-01-24
ide,IDE,Yuji Ide,Japanese,1975-01-21
montagny,FMO,Franck Montagny,French,1978-01-05
yamamoto,YAM,Sakon Yamamoto,Japanese,1982-07-09
kubica,KUB,Robert Kubica,Polish,1984-12-07
hamilton,HAM,Lewis Hamilton,British,1985-01-07
