season,round,raceId,circuitId,driverId,constructorId,grid,position,positionText,points,laps,status,timeMillis,time
2001,1,Australian Grand Prix 2001,albert_park,michael_schumacher,ferrari,1,1,1,10.0,58,Finished,5906533,1:38:26.533
2001,1,Australian Grand Prix 2001,albert_park,coulthard,mclaren,6,2,2,6.0,58,Finished,5908250,+1.717
2001,1,Australian Grand Prix 2001,albert_park,barrichello,ferrari,2,3,3,4.0,58,Finished,5940024,+33.491
2001,1,Australian Grand Prix 2001,albert_park,heidfeld,sauber,10,4,4,3.0,58,Finished,5978012,+1:11.479
2001,1,Australian Grand Prix 2001,albert_park,frentzen,jordan,4,5,5,2.0,58,Finished,5979340,+1:12.807
2001,1,Australian Grand Prix 2001,albert_park,raikkonen,sauber,13,6,6,1.0,58,Finished,5990676,+1:24.143
2001,1,Australian Grand Prix 2001,albert_park,panis,bar,9,7,7,0.0,58,Finished,5993583,+1:27.050
2001,1,Australian Grand Prix 2001,albert_park,burti,jaguar,21,8,8,0.0,57,+1 Lap,,
2001,1,Australian Grand Prix 2001,albert_park,alesi,prost,14,9,9,0.0,57,+1 Lap,,
2001,1,Australian Grand Prix 2001,albert_park,verstappen,arrows,15,10,10,0.0,57,+1 Lap,,
2001,1,Australian Grand Prix 2001,albert_park,irvine,jaguar,12,11,11,0.0,57,+1 Lap,,
2001,1,Australian Grand Prix 2001,albert_park,alonso,minardi,19,12,12,0.0,56,+2 Laps,,
2001,1,Australian Grand Prix 2001,albert_park,fisichella,benetton,17,13,13,0.0,55,+3 Laps,,
2001,1,Australian Grand Prix 2001,albert_park,button,benetton,16,14,R,0.0,52,Electrical,,
2001,1,Australian Grand Prix 2001,albert_park,montoya,williams,11,15,R,0.0,40,Engine,,
2001,1,Australian Grand Prix 2001,albert_park,trulli,jordan,7,16,R,0.0,38,Engine,,
2001,1,Australian Grand Prix 2001,albert_park,hakkinen,mclaren,3,17,R,0.0,25,Suspension,,
2001,1,Australian Grand Prix 2001,albert_park,ralf_schumacher,williams,5,18,R,0.0,4,Collision,,
2001,1,Australian Grand Prix 2001,albert_park,villeneuve,bar,8,19,R,0.0,4,Collision,,
2001,1,Australian Grand Prix 2001,albert_park,marques,minardi,22,20,R,0.0,3,Battery,,
2001,1,Australian Grand Prix 2001,albert_park,bernoldi,arrows,18,21,R,0.0,2,Spun off,,
2001,1,Australian Grand Prix 2001,albert_park,mazzacane,prost,20,22,R,0.0,0,Brakes,,
2001,2,Malaysian Grand Prix 2001,sepang,michael_schumacher,ferrari,1,1,1,10.0,55,Finished,6454801,1:47:34.801
2001,2,Malaysian Grand Prix 2001,sepang,barrichello,ferrari,2,2,2,6.0,55,Finished,6478461,+23.660
2001,2,Malaysian Grand Prix 2001,sepang,coulthard,mclaren,8,3,3,4.0,55,Finished,6483356,+28.555
2001,2,Malaysian Grand Prix 2001,sepang,frentzen,jordan,9,4,4,3.0,55,Finished,6501344,+46.543
2001,2,Malaysian Grand Prix 2001,sepang,ralf_schumacher,williams,3,5,5,2.0,55,Finished,6503034,+48.233
2001,2,Malaysian Grand Prix 2001,sepang,hakkinen,mclaren,4,6,6,1.0,55,Finished,6503407,+48.606
2001,2,Malaysian Grand Prix 2001,sepang,verstappen,arrows,18,7,7,0.0,55,Finished,6536361,+1:21.560
2001,2,Malaysian Grand Prix 2001,sepang,trulli,jordan,5,8,8,0.0,54,+1 Lap,,
2001,2,Malaysian Grand Prix 2001,sepang,alesi,prost,13,9,9,0.0,54,+1 Lap,,
2001,2,Malaysian Grand Prix 2001,sepang,burti,jaguar,15,10,10,0.0,54,+1 Lap,,
2001,2,Malaysian Grand Prix 2001,sepang,button,benetton,17,11,11,0.0,53,+2 Laps,,
