position,positionText,points,wins,Constructor.constructorId,Constructor.url,Constructor.name,Constructor.nationality,season,round
1,1,179,9,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2001,17
2,2,102,4,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2001,17
3,3,80,4,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2001,17
4,4,21,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2001,17
5,5,19,0,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2001,17
6,6,17,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2001,17
7,7,10,0,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian,2001,17
8,8,9,0,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,2001,17
9,9,4,0,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French,2001,17
10,10,1,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,2001,17
11,11,0,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2001,17
1,1,221,15,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2002,17
2,2,92,1,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2002,17
3,3,65,1,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2002,17
4,4,23,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2002,17
5,5,11,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2002,17
6,6,9,0,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2002,17
7,7,8,0,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,2002,17
8,8,7,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2002,17
9,9,2,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2002,17
10,10,2,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2002,17
11,11,2,0,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British,2002,17
1,1,158,8,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2003,16
2,2,144,4,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2003,16
3,3,142,2,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2003,16
4,4,88,1,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2003,16
5,5,26,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2003,16
6,6,19,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2003,16
7,7,18,0,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,2003,16
8,8,16,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2003,16
9,9,13,1,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2003,16
10,10,0,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2003,16
1,1,262,15,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2004,18
2,2,119,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2004,18
3,3,105,1,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2004,18
4,4,88,1,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2004,18
5,5,69,1,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2004,18
6,6,34,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2004,18
7,7,10,0,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,2004,18
8,8,9,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2004,18
9,9,5,0,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2004,18
10,10,1,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2004,18
1,1,191,8,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2005,19
2,2,182,10,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2005,19
3,3,100,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2005,19
4,4,88,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2005,19
5,5,66,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2005,19
6,6,38,0,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British,2005,19
7,7,34,0,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2005,19
8,8,20,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2005,19
9,9,12,0,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,2005,19
10,10,7,0,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,2005,19
1,1,206,8,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2006,18
2,2,201,9,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2006,18
3,3,110,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2006,18
4,4,86,1,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,2006,18
5,5,36,0,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,2006,18
6,6,35,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2006,18
7,7,16,0,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2006,18
8,8,11,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2006,18
9,9,1,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2006,18
10,10,0,0,mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,MF1,Russian,2006,18
11,11,0,0,super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese,2006,18
12,12,0,0,spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch,2006,18
1,1,204,9,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2007,17
2,2,101,0,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,2007,17
3,3,51,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2007,17
4,4,33,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2007,17
5,5,24,0,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2007,17
6,6,13,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2007,17
7,7,8,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2007,17
8,8,6,0,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,2007,17
9,9,4,0,super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese,2007,17
10,10,1,0,spyker,http://en.wikipedia.org/wiki/Spyker_F1,Spyker,Dutch,2007,17
11,E,218,8,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2007,17
1,1,172,8,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2008,18
2,2,151,6,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2008,18
3,3,135,1,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,2008,18
4,4,80,2,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2008,18
5,5,56,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2008,18
6,6,39,1,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2008,18
7,7,29,0,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2008,18
8,8,26,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2008,18
9,9,14,0,honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,2008,18
10,10,0,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2008,18
11,11,0,0,super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese,2008,18
1,1,172,8,brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British,2009,17
2,2,153.5,6,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2009,17
3,3,71,2,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2009,17
4,4,70,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2009,17
5,5,59.5,0,toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,2009,17
6,6,36,0,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German,2009,17
7,7,34.5,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2009,17
8,8,26,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2009,17
9,9,13,0,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,2009,17
10,10,8,0,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,2009,17
1,1,498,9,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2010,19
2,2,454,5,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2010,19
3,3,396,5,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2010,19
4,4,214,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2010,19
5,5,163,0,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,2010,19
6,6,69,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2010,19
